status,tag,seed,L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,calib_split,num_samples,lut_dir,primary_eval_report,build_seconds,error
OK,seed0_L4_symmetric_int8_linear_half_open_clip_x_spline_component,0,4,symmetric,int8,linear,half_open,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_symmetric_int8_linear_half_open_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_symmetric_int8_linear_half_open_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.495,
OK,seed0_L4_symmetric_int8_linear_half_open_zero_spline_spline_component,0,4,symmetric,int8,linear,half_open,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_symmetric_int8_linear_half_open_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_symmetric_int8_linear_half_open_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.367,
OK,seed0_L4_asymmetric_uint8_linear_closed_clip_x_spline_component,0,4,asymmetric,uint8,linear,closed,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_closed_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_closed_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.582,
OK,seed0_L4_asymmetric_uint8_linear_closed_zero_spline_spline_component,0,4,asymmetric,uint8,linear,closed,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_closed_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_closed_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.665,
OK,seed0_L4_asymmetric_uint8_linear_half_open_clip_x_spline_component,0,4,asymmetric,uint8,linear,half_open,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_half_open_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_half_open_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.666,
OK,seed0_L4_asymmetric_uint8_linear_half_open_zero_spline_spline_component,0,4,asymmetric,uint8,linear,half_open,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_half_open_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L4_asymmetric_uint8_linear_half_open_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.361,
OK,seed0_L8_symmetric_int8_linear_closed_clip_x_spline_component,0,8,symmetric,int8,linear,closed,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_closed_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_closed_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.567,
OK,seed0_L8_symmetric_int8_linear_closed_zero_spline_spline_component,0,8,symmetric,int8,linear,closed,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_closed_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_closed_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.608,
OK,seed0_L8_symmetric_int8_linear_half_open_clip_x_spline_component,0,8,symmetric,int8,linear,half_open,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_half_open_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_half_open_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.466,
OK,seed0_L8_symmetric_int8_linear_half_open_zero_spline_spline_component,0,8,symmetric,int8,linear,half_open,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_half_open_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_symmetric_int8_linear_half_open_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.657,
OK,seed0_L8_asymmetric_uint8_linear_closed_clip_x_spline_component,0,8,asymmetric,uint8,linear,closed,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_closed_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_closed_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.652,
OK,seed0_L8_asymmetric_uint8_linear_closed_zero_spline_spline_component,0,8,asymmetric,uint8,linear,closed,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_closed_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_closed_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.482,
OK,seed0_L8_asymmetric_uint8_linear_half_open_clip_x_spline_component,0,8,asymmetric,uint8,linear,half_open,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_half_open_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_half_open_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.765,
OK,seed0_L8_asymmetric_uint8_linear_half_open_zero_spline_spline_component,0,8,asymmetric,uint8,linear,half_open,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_half_open_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L8_asymmetric_uint8_linear_half_open_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.565,
OK,seed0_L16_symmetric_int8_linear_closed_clip_x_spline_component,0,16,symmetric,int8,linear,closed,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L16_symmetric_int8_linear_closed_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L16_symmetric_int8_linear_closed_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.534,
OK,seed0_L16_symmetric_int8_linear_closed_zero_spline_spline_component,0,16,symmetric,int8,linear,closed,zero_spline,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L16_symmetric_int8_linear_closed_zero_spline_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L16_symmetric_int8_linear_closed_zero_spline_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,15.765,
OK,seed0_L16_symmetric_int8_linear_half_open_clip_x_spline_component,0,16,symmetric,int8,linear,half_open,clip_x,spline_component,train,4096,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L16_symmetric_int8_linear_half_open_clip_x_spline_component,experiment_data\runs\20260102_201007_seed42_DoS_Hulk_w32-16_g5_k3\lut_sweeps_v2\seed0_L16_symmetric_int8_linear_half_open_clip_x_spline_component\eval\bs1_tt1_tn1\lut_report_unified.json,16.031,
